movieId,title,genres,movieId,sum(rating),count(userId),popularity
164304,Homeless in America (2004),(no genres listed),164304,1.0,2,0.5
148753,Bawdy Tales (1973),Drama,148753,0.5,1,0.5
160614,Big Man - A Policy for Hell (1988),(no genres listed),160614,0.5,1,0.5
192453,A Dog and Pony Show (2018),Children|Comedy,192453,1.0,2,0.5
191089,41 (2013),Drama|Sci-Fi,191089,0.5,1,0.5
179035,Immigration Game (2017),Action|Drama|Thriller,179035,0.5,1,0.5
133735,Betty Blowtorch: And Her Amazing True Life Adventures (2003),Documentary,133735,0.5,1,0.5
150558,AWOL-72 (2015),Thriller,150558,0.5,1,0.5
109355,13 Fighting Men (1960),Western,109355,0.5,1,0.5
186067,Before Dawn (2012),Horror,186067,0.5,1,0.5
139002,Atrocity (2014),(no genres listed),139002,0.5,1,0.5
159968,L'année prochaine... si tout va bien (1981),Comedy|Drama,159968,0.5,1,0.5
177965,The Sleeper (2012),Comedy|Horror|Thriller,177965,0.5,1,0.5
139012,Empty (2011),Action|Drama|Horror|Sci-Fi|Thriller,139012,1.0,2,0.5
115935,Tom Sawyer (2000),Adventure|Animation|Children,115935,1.0,2,0.5
170211,Snapdragon (1993),Mystery|Romance|Thriller,170211,0.5,1,0.5
184991,Touch Me Not (2018),Drama,184991,0.5,1,0.5
183415,A Fox's Tale (2008),Adventure|Animation|Children,183415,0.5,1,0.5
119870,The Fishmen and Their Queen (1995),Adventure|Horror|Sci-Fi,119870,0.5,1,0.5
135943,Stripper Academy (2007),Comedy,135943,0.5,1,0.5
185065,Best Player (2011),Children|Comedy,185065,0.5,1,0.5
111046,"Golden Christmas 3, A (2012)",Children|Comedy|Romance,111046,0.5,1,0.5
143397,If I Die Before I Wake (2001),Crime|Horror|Thriller,143397,0.5,1,0.5
184535,Thanksgiving (2014),Drama,184535,0.5,1,0.5
190763,Race 3 (2018),Action|Thriller,190763,0.5,1,0.5
138576,Brutal (2012),Crime,138576,0.5,1,0.5
144952,The Collectors (1999),(no genres listed),144952,0.5,1,0.5
189759,Camping 3 (2016),Comedy,189759,0.5,1,0.5
161810,VeggieTales: The Ultimate Silly Song Countdown (2001),Animation|Children,161810,0.5,1,0.5
181463,Equilibrium (2017),(no genres listed),181463,0.5,1,0.5
158719,Sams in Gefahr (2003),Children,158719,0.5,1,0.5
186899,The Ties That Bind (1985),Documentary,186899,0.5,1,0.5
174547,The Christmas Tree (1991),Animation|Children,174547,1.0,2,0.5
154556,Despiser (2003),(no genres listed),154556,0.5,1,0.5
160404,Barrela: Escola de Crimes (1990),Crime,160404,0.5,1,0.5
152826,Hawa (2003),Drama|Horror,152826,0.5,1,0.5
165039,The Zombie Diaries (2006),Action|Horror|Thriller,165039,0.5,1,0.5
124368,Escape Me Never (1947),Drama,124368,0.5,1,0.5
155961,Wide Open (1930),Comedy,155961,0.5,1,0.5
117523,Love You You (2011),Romance,117523,0.5,1,0.5
188379,Kicking Off (2013),Drama|Thriller,188379,1.0,2,0.5
185059,Ghost Game (2005),Comedy|Horror,185059,0.5,1,0.5
191081,Nightfall (1988),Mystery|Sci-Fi,191081,0.5,1,0.5
135691,Señorita Justice,(no genres listed),135691,0.5,1,0.5
182741,Krampus Unleashed (2016),Horror,182741,2.5,5,0.5
137507,Cinderella 2000 (1977),Fantasy|Sci-Fi,137507,1.0,2,0.5
131152,The Fat Spy (1966),Comedy,131152,0.5,1,0.5
152342,road (2002),(no genres listed),152342,0.5,1,0.5
114380,Cement (2000),Crime|Drama,114380,0.5,1,0.5
131694,Homework (1982),Comedy|Drama,131694,0.5,1,0.5
193683,Alien Code (2017),Mystery|Sci-Fi|Thriller,193683,0.5,1,0.5
128810,Scandali nudi (1968),(no genres listed),128810,0.5,1,0.5
193779,We Have Always Lived in the Castle (2018),Drama|Mystery|Thriller,193779,0.5,1,0.5
191325,Splitting Adam (2015),Comedy,191325,0.5,1,0.5
177691,In Search of Lovecraft (2008),Horror,177691,0.5,1,0.5
146968,Dirty Linen (1999),(no genres listed),146968,0.5,1,0.5
186123,Corpses (2004),Horror,186123,0.5,1,0.5
156152,Heroes Of Sung (1973),Action|Adventure|Drama,156152,0.5,1,0.5
184055,The Yearly Harvest (2016),(no genres listed),184055,0.5,1,0.5
128241,The Borrowers (1973),Children|Fantasy,128241,0.5,1,0.5
159960,The Savage Five (1974),Action,159960,0.5,1,0.5
177121,Goliath (2017),(no genres listed),177121,0.5,1,0.5
112774,"Severed Arm, The (1973)",Crime|Horror,112774,0.5,1,0.5
171883,Baptism of Blood (2006),Drama|Thriller,171883,0.5,1,0.5
178675,Unsullied (2015),Action|Horror|Thriller,178675,0.5,1,0.5
184545,These Old Broads (2001),Comedy,184545,0.5,1,0.5
190469,The Death of Mario Ricci (1983),(no genres listed),190469,0.5,1,0.5
186887,Magdalena Viraga (1986),(no genres listed),186887,0.5,1,0.5
176639,Headrush (2003),Comedy|Crime,176639,0.5,1,0.5
159958,The Red Mill (1927),Comedy|Romance,159958,0.5,1,0.5
181323,Podejrzani zakochani (2013),Comedy,181323,0.5,1,0.5
187673,Escape from Hell (1980),Adventure|Crime|Thriller,187673,0.5,1,0.5
154166,Shuttlecock Boys (2012),Drama,154166,0.5,1,0.5
177417,Preferisco il paradiso (2010),Drama,177417,0.5,1,0.5
129881,Il cappotto di legno (1981),(no genres listed),129881,0.5,1,0.5
171365,Megafault (2009),Action|Adventure|Sci-Fi,171365,0.5,1,0.5
176379,Unrivaled (2010),Action|Adventure|Drama,176379,1.0,2,0.5
146204,A Brief Season (1969),(no genres listed),146204,0.5,1,0.5
129877,"Clap, You're Dead (1974)",(no genres listed),129877,0.5,1,0.5
153774,The Train: Some Lines Shoulder Never Be Crossed... (2007),Action|Thriller,153774,1.0,2,0.5
184607,A Grim Becoming,(no genres listed),184607,0.5,1,0.5
192109,Minding the Gap (2018),Documentary,192109,0.5,1,0.5
180561,The Thirsty Dead (1974),Horror,180561,0.5,1,0.5
139016,The Void (2001),Action|Sci-Fi|Thriller,139016,0.5,1,0.5
191145,Lucky Stiff (1988),Comedy|Horror,191145,0.5,1,0.5
156154,The Rescue (1971),Action,156154,0.5,1,0.5
166508,Logan (2010),Children|Comedy|Drama,166508,0.5,1,0.5
161010,Skinheads (1989),Thriller,161010,0.5,1,0.5
154170,Ghost (2012),Horror,154170,0.5,1,0.5
190269,Honey: Rise Up and Dance (2018),Drama,190269,0.5,1,0.5
173531,Recon 2020:  The Caprini Massacre (2004),Action|Sci-Fi,173531,0.5,1,0.5
186885,Loving Couples (1964),(no genres listed),186885,0.5,1,0.5
166181,Female Werewolf (2015),(no genres listed),166181,0.5,1,0.5
160116,Sorceress (1995),Fantasy|Horror|Thriller,160116,0.5,1,0.5
177835,The Killer in the House (2016),Action|Comedy|Horror,177835,1.0,2,0.5
180225,In the Face of Evil: Reagan's War in Word and Deed (2004),Documentary,180225,0.5,1,0.5
183473,Holiday Baggage (2008),(no genres listed),183473,0.5,1,0.5
146208,The Ghost of Flight 401 (1978),Drama|Mystery|Thriller,146208,0.5,1,0.5
125111,The Three Stooges Go Around the World in a Daze (1963),Comedy,125111,0.5,1,0.5
141090,Ti ho sposato per allegria (1967),(no genres listed),141090,0.5,1,0.5
146736,David and Goliath (2015),Drama,146736,1.0,2,0.5
150148,12 Dicembre (1972),Documentary,150148,0.5,1,0.5
186023,Karas: The Revelation (2007),Action|Animation|Fantasy,186023,0.5,1,0.5
152477,Mad at the Moon (1992),(no genres listed),152477,0.5,1,0.5
169484,10 Minutes (2014),(no genres listed),169484,0.5,1,0.5
193183,Death of a Nation (2018),Documentary,193183,0.5,1,0.5
154566,Invisible Mom (1997),Children|Comedy|Fantasy,154566,0.5,1,0.5
140992,Deck the Halls (2011),Drama|Mystery,140992,0.5,1,0.5
162918,I Carabbinieri (1981),Comedy,162918,0.5,1,0.5
158671,CyberTracker (1994),Action|Sci-Fi,158671,0.5,1,0.5
141932,Blood Moon (2014),Horror|Western,141932,1.0,2,0.5
172769,Red Bells Part I: Mexico on Fire (1982),Drama|Western,172769,0.5,1,0.5
155539,Return to Nuke 'Em High Volume 2 (2014),(no genres listed),155539,0.5,1,0.5
186897,Stranded (1965),(no genres listed),186897,0.5,1,0.5
147783,At Risk (2010),Crime|Drama|Mystery,147783,0.5,1,0.5
184435,Haunted (2017),Horror|Thriller,184435,0.5,1,0.5
129456,The Legend of Bloody Jack (2007),Horror,129456,0.5,1,0.5
168068,The Secret of Blood Island (1964),(no genres listed),168068,0.5,1,0.5
177131,Strawberries Need Rain (1970),Drama,177131,0.5,1,0.5
153034,D (2005),Crime|Drama|Thriller,153034,0.5,1,0.5
169290,The Cradle (2007),Horror|Thriller,169290,0.5,1,0.5
151222,Mandroid (1993),Action|Horror|Sci-Fi,151222,0.5,1,0.5
181747,I Do... I Did! (2009),Comedy|Romance,181747,0.5,1,0.5
183839,Norfolk (2015),Drama|Thriller,183839,0.5,1,0.5
47292,Blizzard (2003),Children|Comedy,47292,0.5,1,0.5
178383,Magic Samson (1988),Comedy,178383,0.5,1,0.5
100103,Day and Night (Le jour et la nuit) (1997),Drama,100103,1.0,2,0.5
183253,Spaceship Terror (2011),(no genres listed),183253,0.5,1,0.5
174791,Kino-pravda no. 1 (1922),Documentary,174791,0.5,1,0.5
146550,Double O Kid (1992),(no genres listed),146550,0.5,1,0.5
138120,The Expedition,(no genres listed),138120,0.5,1,0.5
164210,Zarkorr! The Invader (1996),Sci-Fi,164210,0.5,1,0.5
103769,"Devil's in the Details, The (2013)",Thriller,103769,0.5,1,0.5
192959,From the Future with Love (2013),Sci-Fi,192959,0.5,1,0.5
192117,Life's a Jungle (2012),Animation|Children,192117,2.0,4,0.5
161038,The Ordeal of Patty Hearst (1979),(no genres listed),161038,0.5,1,0.5
168548,The River Thief (2016),Action|Adventure|Crime,168548,0.5,1,0.5
181383,Śniadanie do łóżka (2010),Comedy,181383,0.5,1,0.5
120410,From Above (2013),Drama|Romance,120410,1.0,2,0.5
172451,Irwin & Fran 2013,(no genres listed),172451,0.5,1,0.5
177133,Beyond Glory (2015),War,177133,0.5,1,0.5
186475,Stealing Paradise (2011),(no genres listed),186475,0.5,1,0.5
155731,12 Paces without a Head (2009),Comedy,155731,0.5,1,0.5
94327,Diverted (2009),Drama,94327,0.5,1,0.5
104341,Askari (2001),Drama,104341,0.5,1,0.5
136796,Zombie Resurrection (2014),Horror,136796,0.5,1,0.5
153947,Swamp Zombies!!! (2005),Horror,153947,1.0,2,0.5
169642,Alan Davies: Live at the Lyric (1994),Comedy,169642,0.5,1,0.5
125648,Horror of the Blood Monsters (1970),Action|Comedy|Horror|Sci-Fi,125648,0.5,1,0.5
139555,Kiss the Abyss (2010),Horror,139555,0.5,1,0.5
104569,"Act of Love (Acte d'amour, Un) (1953)",Drama|Romance|War,104569,0.5,1,0.5
106434,Chillers (1987),Horror,106434,0.5,1,0.5
192369,Odds Are (2018),Thriller,192369,0.5,1,0.5
191191,The Operative (2001),Action|Thriller,191191,0.5,1,0.5
130400,Through the Forest (2005),Drama,130400,0.5,1,0.5
146860,A Second Childhood (2010),(no genres listed),146860,0.5,1,0.5
177473,spanners (2013),Fantasy|Mystery|Sci-Fi,177473,0.5,1,0.5
168908,Has the Film Already Started? (1951),(no genres listed),168908,0.5,1,0.5
191099,Ratatoing (2007),Animation|Children|Comedy,191099,0.5,1,0.5
180359,Armaan (2003),Drama|Romance,180359,0.5,1,0.5
124111,Wish You Were Dead (2002),Action|Comedy|Romance|Thriller,124111,0.5,1,0.5
123437,Monster Island (2004),Adventure|Comedy|Horror,123437,0.5,1,0.5
190245,Loue-moi ! (2017),Comedy,190245,0.5,1,0.5
177129,Vita smeralda (2006),Comedy,177129,1.0,2,0.5
170267,Kill Squad (1982),Action|Drama,170267,0.5,1,0.5
176649,María de mi corazón (1979),(no genres listed),176649,0.5,1,0.5
101634,"Get2Gether, A (2005)",Comedy,101634,0.5,1,0.5
138008,New Year (2011),(no genres listed),138008,0.5,1,0.5
160346,"Class of Nuke 'Em High 3: The Good, the Bad and the Subhumanoid (1994)",Comedy|Horror|Sci-Fi,160346,1.0,2,0.5
159924,Shaolin Prince (1982),Action,159924,0.5,1,0.5
133941,2047 - Sights of Death (2014),Action|Sci-Fi|Thriller,133941,1.0,2,0.5
149868,Chandu on the Magic Island (1935),Action|Mystery,149868,0.5,1,0.5
147591,Dark Rising 2:  Summer Strikes Back (2011),Action|Comedy|Fantasy|Sci-Fi,147591,0.5,1,0.5
103614,Topralli (1966),Comedy,103614,0.5,1,0.5
187971,A Noisy Day (1960),Comedy|Drama|Romance,187971,0.5,1,0.5
97915,Lookin' to Get Out (1982),Comedy,97915,0.5,1,0.5
137301,Blue Seduction (2009),Romance|Thriller,137301,0.5,1,0.5
116917,Whoregasm (1988),(no genres listed),116917,0.5,1,0.5
131393,Shadowheart (2009),Action|Adventure|Drama|Romance|Western,131393,1.0,2,0.5
167672,Galaxy Hunter (2004),Sci-Fi,167672,0.5,1,0.5
